tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,filter_half,1000000,10000000,10000,4,4.4901299999999814e7,0.0,0,0
dask,filter_half,10000000,10000000,10000,4,1.892377999999999e8,0.0,0,0
dask,filter_half,100000000,10000000,10000,4,1.2784652000000002e9,0.0,0,0
dask,filter_half,500000000,10000000,10000,4,8.160890500000001e9,0.0,0,0
dask,filter_half,1000000000,10000000,10000,4,8.40803013e10,0.0,0,0
dataframesjl,filter_half,1000000,10000000,10000,4,3.0127e6,0.0,12129488,37
dataframesjl,filter_half,10000000,10000000,10000,4,1.96625e7,0.0,121236704,75
dataframesjl,filter_half,100000000,10000000,10000,4,2.006968e8,548800.0,1212318464,74
dataframesjl,filter_half,500000000,10000000,10000,4,1.1150551e9,701200.0,6061298528,75
dataframesjl,filter_half,1000000000,10000000,10000,4,3.33253183e10,6.4533e6,12122461440,76
dtable,filter_half,1000000,10000000,10000,4,6.30075e7,0.0,44434384,1951197
dtable,filter_half,10000000,10000000,10000,4,6.152543e8,2.18135e7,468709936,19490951
dtable,filter_half,100000000,10000000,10000,4,4.1211964e9,8.085691e8,4571863288,194902364
dtable,filter_half,500000000,10000000,10000,4,2.05009775e10,4.6346878e9,22537417160,974599318
dtable,filter_half,1000000000,10000000,10000,4,4.34135212e10,1.23823571e10,40383122640,1949353004
