tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,grouped_reduce_mean_allcols,1000000,10000000,1000,4,6.552046799999999e9,0.0,0,0
dask,grouped_reduce_mean_allcols,10000000,10000000,1000,4,6.981329000000002e9,0.0,0,0
dask,grouped_reduce_mean_allcols,100000000,10000000,1000,4,1.2711135900000002e10,0.0,0,0
dask,grouped_reduce_mean_allcols,500000000,10000000,1000,4,3.2786638699999996e10,0.0,0,0
dask,grouped_reduce_mean_allcols,1000000000,10000000,1000,4,1.543053387e11,0.0,0,0
dataframesjl,grouped_reduce_mean_allcols,1000000,10000000,1000,4,2.9347e6,0.0,259744,5597
dataframesjl,grouped_reduce_mean_allcols,10000000,10000000,1000,4,6.44942e7,0.0,259360,5585
dataframesjl,grouped_reduce_mean_allcols,100000000,10000000,1000,4,7.939229e8,0.0,259680,5595
dataframesjl,grouped_reduce_mean_allcols,500000000,10000000,1000,4,4.3768231e9,0.0,259136,5578
dataframesjl,grouped_reduce_mean_allcols,1000000000,10000000,1000,4,9.2797975e9,0.0,259776,5598
dtable,grouped_reduce_mean_allcols,1000000,10000000,1000,4,3.376147e8,2.90128e7,157101105,2510779
dtable,grouped_reduce_mean_allcols,10000000,10000000,1000,4,3.029742e8,2.51537e7,152796880,2400041
dtable,grouped_reduce_mean_allcols,100000000,10000000,1000,4,4.980941e8,0.0,175595856,2865303
dtable,grouped_reduce_mean_allcols,500000000,10000000,1000,4,1.1964453e9,8.28826e7,193570336,3265790
dtable,grouped_reduce_mean_allcols,1000000000,10000000,1000,4,2.1327933e9,1.435682e8,225731234,3769862
