tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,increment_map,1000000,1000000,10000,4,1.6852700000000276e7,0.0,0,0
dask,increment_map,10000000,1000000,10000,4,4.64958000000002e7,0.0,0,0
dask,increment_map,100000000,1000000,10000,4,2.3150099999999973e8,0.0,0,0
dask,increment_map,500000000,1000000,10000,4,1.2786162999999995e9,0.0,0,0
dask,increment_map,1000000000,1000000,10000,4,3.2181005300000004e10,0.0,0,0
dataframesjl,increment_map,1000000,1000000,10000,4,1.0534e6,0.0,8004920,90
dataframesjl,increment_map,10000000,1000000,10000,4,9.0293e6,0.0,80004920,90
dataframesjl,increment_map,100000000,1000000,10000,4,8.63867e7,0.0,800004920,90
dataframesjl,increment_map,500000000,1000000,10000,4,4.317884e8,158700.0,4000004920,90
dataframesjl,increment_map,1000000000,1000000,10000,4,1.1860786e9,189500.0,8000004920,90
dtable,increment_map,1000000,1000000,10000,4,2.0445e6,0.0,8083248,1622
dtable,increment_map,10000000,1000000,10000,4,1.06615e7,0.0,80835280,16675
dtable,increment_map,100000000,1000000,10000,4,9.79747e7,0.0,808111312,162757
dtable,increment_map,500000000,1000000,10000,4,7.810548e8,2.832652e8,4060689520,892768
dtable,increment_map,1000000000,1000000,10000,4,2.2663014e9,9.430934e8,8127568240,1888691
