tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,groupby_single_col,1000000,1000000,10000,4,3.50608271e10,0.0,0,0
dask,groupby_single_col,10000000,1000000,10000,4,9.19591399e10,0.0,0,0
dask,groupby_single_col,100000000,1000000,10000,4,6.787514649e11,0.0,0,0
dataframesjl,groupby_single_col,1000000,1000000,10000,4,835900.0,0.0,8188504,305
dataframesjl,groupby_single_col,10000000,1000000,10000,4,6.516e6,0.0,80188504,305
dataframesjl,groupby_single_col,100000000,1000000,10000,4,6.59004e7,0.0,800188440,303
dataframesjl,groupby_single_col,500000000,1000000,10000,4,3.733718e8,136500.0,4000188504,305
dataframesjl,groupby_single_col,1000000000,1000000,10000,4,9.483752e8,371100.0,8000188472,304
dtable,groupby_single_col,1000000,1000000,10000,4,3.697916e8,3.5229e7,321613426,4171080
dtable,groupby_single_col,10000000,1000000,10000,4,4.1003775e9,8.719175e8,4121864125,52952208
dtable,groupby_single_col,100000000,1000000,10000,4,4.14163205e10,2.34477555e10,30585621557,366703395
dtable,groupby_single_col,500000000,1000000,10000,4,6.116406211e11,4.899583547e11,147175305584,1771073869
