tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,groupby_reduce_mean_all,1000000,1000000,10000,4,9.61337379e10,0.0,0,0
dask,groupby_reduce_mean_all,10000000,1000000,10000,4,1.506279242e11,0.0,0,0
dask,groupby_reduce_mean_all,100000000,1000000,10000,4,9.227087129e11,0.0,0,0
dataframesjl,groupby_reduce_mean_all,1000000,1000000,10000,4,8.1898e6,0.0,18157592,42013
dataframesjl,groupby_reduce_mean_all,10000000,1000000,10000,4,1.299044e8,0.0,162157240,42002
dataframesjl,groupby_reduce_mean_all,100000000,1000000,10000,4,1.4173677e9,988700.0,1602157496,42010
dataframesjl,groupby_reduce_mean_all,500000000,1000000,10000,4,7.7580663e9,782300.0,8002157112,41998
dataframesjl,groupby_reduce_mean_all,1000000000,1000000,10000,4,1.113327871e11,1.183124e8,16002157016,41995
dtable,groupby_reduce_mean_all,1000000,1000000,10000,4,3.8063816e9,5.866104e8,1843310448,28180193
dtable,groupby_reduce_mean_all,10000000,1000000,10000,4,9.1715387e9,1.4849438e9,6110810216,87699251
dtable,groupby_reduce_mean_all,100000000,1000000,10000,4,5.09617934e10,3.05211735e10,33115645280,412109729
dtable,groupby_reduce_mean_all,500000000,1000000,10000,4,5.938471652e11,4.67024923e11,153259551856,1888155802
dtable,groupby_reduce_mean_all,1000000000,1000000,10000,4,1.515687394e12,1.156469481622e12,273154000000,3620000000
