tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,increment_map,100000000,10000000,1000,4,159511399.99999997,0,0,0
dask,filter_half,100000000,10000000,1000,4,1343938100.0,0,0,0
dask,reduce_var_all,100000000,10000000,1000,4,4771668099.999999,0,0,0
dask,reduce_var_single,100000000,10000000,1000,4,819741699.9999998,0,0,0
dask,groupby_reduce_mean_all,100000000,10000000,1000,4,34416864600.0,0,0,0
dask,groupby_single_col,100000000,10000000,1000,4,22505386799.999996,0,0,0
dask,grouped_reduce_mean_singlecol,100000000,10000000,1000,4,5122892999.99999,0,0,0
dask,grouped_reduce_mean_allcols,100000000,10000000,1000,4,12711135900.000002,0,0,0
