tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dtable,increment_map,500000000,1000000,10000,4,7.810548e8,2.832652e8,4060689520,892768
dtable,filter_half,500000000,1000000,10000,4,2.0389132e10,5.8197616e9,22266349408,976374987
dtable,reduce_var_all,500000000,1000000,10000,4,8.731798e8,1.0948e7,78325985,1265510
dtable,reduce_var_single,500000000,1000000,10000,4,3.112183e8,1.21367e7,69355888,1059568
dtable,groupby_reduce_mean_all,500000000,1000000,10000,4,5.938471652e11,4.67024923e11,153259551856,1888155802
