tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,increment_map,500000000,10000000,10000,4,786205799.9999994,0,0,0
dask,filter_half,500000000,10000000,10000,4,8160890500.000001,0,0,0
dask,reduce_var_all,500000000,10000000,10000,4,24812455300.0,0,0,0
dask,reduce_var_single,500000000,10000000,10000,4,4321964699.999995,0,0,0
