tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dataframesjl,increment_map,100000000,10000000,1000,4,8.62565e7,0.0,800004920,90
dataframesjl,filter_half,100000000,10000000,1000,4,8.4989281e9,4.27395e7,5193326960,248796932
dataframesjl,reduce_var_all,100000000,10000000,1000,4,1.138223e8,0.0,13632,277
dataframesjl,reduce_var_single,100000000,10000000,1000,4,3.08298e7,0.0,4832,85
dataframesjl,groupby_reduce_mean_all,100000000,10000000,1000,4,1.372998e8,0.0,800145032,746
dataframesjl,groupby_single_col,100000000,10000000,1000,4,6.51304e7,0.0,800043064,304
dataframesjl,grouped_reduce_mean_singlecol,100000000,10000000,1000,4,6.61181e7,0.0,43392,247
dataframesjl,grouped_reduce_mean_allcols,100000000,10000000,1000,4,1.240029e8,0.0,102192,450
