tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,increment_map,1000000,1000000,10000,4,16852700.000000276,0,0,0
dask,filter_half,1000000,1000000,10000,4,40394199.99999972,0,0,0
dask,reduce_var_all,1000000,1000000,10000,4,164342199.99999967,0,0,0
dask,reduce_var_single,1000000,1000000,10000,4,36118699.999999836,0,0,0
dask,groupby_reduce_mean_all,1000000,1000000,10000,4,96133737900.0,0,0,0
dask,groupby_single_col,1000000,1000000,10000,4,35060827100.0,0,0,0
dask,grouped_reduce_mean_singlecol,1000000,1000000,10000,4,33902695300.000004,0,0,0
dask,grouped_reduce_mean_allcols,1000000,1000000,10000,4,65573657400.00003,0,0,0
