tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dataframesjl,increment_map,500000000,10000000,1000,4,4.67956e8,158900.0,4000004920,90
dataframesjl,filter_half,500000000,10000000,1000,4,4.18192687e10,2.470561e8,25966447728,1243997115
dataframesjl,reduce_var_all,500000000,10000000,1000,4,6.118824e8,0.0,13632,277
dataframesjl,reduce_var_single,500000000,10000000,1000,4,1.414937e8,0.0,4832,85
dataframesjl,groupby_reduce_mean_all,500000000,10000000,1000,4,8.464502e8,314600.0,4000145096,748
dataframesjl,groupby_single_col,500000000,10000000,1000,4,3.31321e8,275200.0,4000043128,306
dataframesjl,grouped_reduce_mean_singlecol,500000000,10000000,1000,4,3.068073e8,0.0,43392,247
dataframesjl,grouped_reduce_mean_allcols,500000000,10000000,1000,4,5.055313e8,0.0,102192,450
