tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dtable,grouped_reduce_mean_singlecol,500000000,10000000,10000,4,8.5573004e9,3.975577e9,1765596712,28876527
dtable,grouped_reduce_mean_allcols,500000000,10000000,10000,4,1.36151666e10,6.6508002e9,2422499472,43260085
dtable,grouped_reduce_mean_singlecol,500000000,10000000,10000,4,1.72043418e10,9.0170196e9,2614407928,47225647
dtable,grouped_reduce_mean_allcols,500000000,10000000,10000,4,2.9834984e10,1.54381851e10,3997414898,78723762
dtable,grouped_reduce_mean_singlecol,500000000,10000000,10000,4,5.66949526e10,2.74423098e10,5983082632,123597129
dtable,grouped_reduce_mean_allcols,500000000,10000000,10000,4,7.05067226e10,3.03294494e10,7259718128,152850475
