tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dtable,grouped_reduce_mean_singlecol,100000000,1000000,10000,4,8.855509e9,4.0289618e9,2050006936,32836670
dtable,grouped_reduce_mean_allcols,100000000,1000000,10000,4,1.21072562e10,5.4478138e9,2567463248,44750859
dtable,grouped_reduce_mean_singlecol,100000000,1000000,10000,4,1.20013229e10,5.6113953e9,2356295880,39242526
dtable,grouped_reduce_mean_allcols,100000000,1000000,10000,4,1.61324502e10,7.5537397e9,2992340352,54664146
dtable,grouped_reduce_mean_singlecol,100000000,1000000,10000,4,1.84263116e10,8.0342142e9,2925163416,53195942
dtable,grouped_reduce_mean_allcols,100000000,1000000,10000,4,2.4469667e10,1.02490697e10,3825405648,73576143
